RecordID,KnowledgeDomain,Category,Name,ShortDefinition,HRDiagramPlacement,TemperatureKRange,LuminositySolarRange,SpectralClass,ColorCue,LifecycleStage,AppUseCase,AIEnhancement,PowerAppsScreen,SuggestedDataverseTable,UserFacingExplanation,ScientificIntegrityNote,ConfidenceRule,DataSourceSuggestion,Tags
SK-001,Product Concept,Core Identity,Stellar Cognition Interface,AI system that explains the life behind observed starlight.,All regions,Variable,Variable,All,Variable,Variable,Main product concept,"Turns star data into explanation, placement, and learning journey.",Home,ProductKnowledge,"This tool helps users understand what a star is, where it belongs, and what it may become.",Do not present inference as direct observation.,Require evidence label for every generated claim.,Internal concept; astronomy catalogs for real data,concept;mission;ai
SK-002,Product Concept,Core Anchor,Life Behind the Light,Central phrase for explaining the product value.,All regions,Variable,Variable,All,Variable,Variable,Brand/messaging,Creates emotional and scientific framing.,Home,ProductKnowledge,A telescope shows light; this system explains the life behind that light.,Keep poetic language scientifically grounded.,No confidence score needed for brand copy.,Internal concept,branding;outreach
SK-003,Input Layer,Observation Method,Telescope Image Upload,User uploads an image captured through a telescope.,N/A,N/A,N/A,N/A,Image-based,N/A,Observation capture,AI checks image quality and suggests likely star matches.,Observation Capture,ObservationSessions,Upload a telescope image to begin identifying stars in the field.,Image-based identification may be uncertain without location and time.,"Higher confidence with timestamp, location, and clear image quality.",User upload; plate-solving service,input;telescope;image
SK-004,Input Layer,Observation Method,Phone Sky View,Phone camera or manual sky view used for guided observation.,N/A,N/A,N/A,N/A,Approximate,N/A,Observation capture,"AI combines image, time, and location to suggest visible stars.",Observation Capture,ObservationSessions,Use your phone sky view as a starting point for star identification.,Phone images may not capture true star color or brightness.,Mark results tentative unless catalog-matched.,User input; sky map API,input;mobile;sky
SK-005,Input Layer,Observation Method,Catalog Search,User searches a known star or catalog object.,All regions,Variable,Variable,All,Catalog-based,Variable,Star lookup,AI retrieves properties and explains H-R placement.,Star Search,Stars,Search for a known star and generate its profile.,Catalog values should be cited or sourced.,Higher confidence when multiple catalog fields agree.,Gaia; SIMBAD; NASA Exoplanet Archive,input;catalog;search
SK-006,Data Field,Astrometry,Right Ascension,Celestial longitude coordinate used to locate stars.,N/A,N/A,N/A,All,N/A,N/A,Star identification,Supports catalog matching and sky position.,Star Detail,Stars,Right ascension helps locate the star on the celestial sphere.,Coordinate epoch should be noted when available.,Confidence depends on catalog source quality.,Gaia; SIMBAD,astrometry;coordinates
SK-007,Data Field,Astrometry,Declination,Celestial latitude coordinate used to locate stars.,N/A,N/A,N/A,All,N/A,N/A,Star identification,Supports catalog matching and sky position.,Star Detail,Stars,Declination helps locate the star above or below the celestial equator.,Coordinate epoch should be noted when available.,Confidence depends on catalog source quality.,Gaia; SIMBAD,astrometry;coordinates
SK-008,Data Field,Photometry,Apparent Magnitude,How bright a star appears from Earth.,All regions,Variable,Variable,All,Brightness cue,Variable,Star profile,AI compares visible brightness with distance and luminosity.,Star Detail,Stars,Apparent magnitude is how bright the star looks from Earth.,Not the same as true luminosity.,Use with distance or parallax for stronger interpretation.,Gaia; SIMBAD; Hipparcos,photometry;magnitude
SK-009,Data Field,Photometry,Absolute Magnitude,How bright a star would appear at a standard distance of 10 parsecs.,All regions,Variable,Variable,All,Brightness cue,Variable,H-R placement,AI uses it to estimate luminosity placement.,H-R Diagram,HRPlacements,Absolute magnitude helps compare stars fairly by removing distance effects.,Requires reliable distance estimate.,Confidence depends on parallax accuracy.,Gaia; SIMBAD,photometry;luminosity
SK-010,Data Field,Photometry,Color Index,Numeric measure of star color often used to infer temperature.,All regions,Variable,Variable,All,Blue to red,Variable,Temperature estimation,AI uses color index to estimate surface temperature.,Star Detail,Stars,Color index helps show whether a star is hotter or cooler.,Dust reddening can distort color interpretation.,Confidence improves with corrected photometry.,Gaia; SIMBAD,photometry;color
SK-011,Data Field,Physics,Surface Temperature,Approximate temperature of the star surface in Kelvin.,Horizontal axis,2500-50000+,Variable,All,Blue is hotter; red is cooler,Variable,H-R placement,AI places stars along the temperature axis.,H-R Diagram,Stars,Temperature helps determine where the star sits left to right on the H-R diagram.,Temperature estimates may vary by method.,Use spectral class and color index together.,Gaia; SIMBAD; stellar models,temperature;physics
SK-012,Data Field,Physics,Luminosity,Total energy output relative to the Sun.,Vertical axis,Variable,0.0001-1000000+,All,Brightness cue,Variable,H-R placement,AI places stars vertically by energy output.,H-R Diagram,Stars,Luminosity shows how much energy the star truly emits.,Requires distance and brightness correction.,Higher confidence with reliable parallax.,Gaia; SIMBAD,luminosity;physics
SK-013,Data Field,Physics,Radius,Approximate size of the star relative to the Sun.,All regions,Variable,Variable,All,Variable,Variable,Star biography,AI explains why giants are luminous despite cooler surfaces.,Star Detail,Stars,Radius helps explain why some cool stars can still be extremely bright.,Often model-derived rather than directly measured.,Label as inferred unless directly measured.,Stellar models; catalogs,radius;physics
SK-014,Data Field,Physics,Mass,Approximate stellar mass relative to the Sun.,All regions,Variable,Variable,All,Variable,Variable,Lifecycle prediction,AI predicts lifespan and final remnant pathway.,Star Detail,Stars,Mass strongly shapes how fast a star lives and how it dies.,Mass may be estimated indirectly.,"Use mass ranges, not false precision, when uncertain.",Stellar models; binary observations,mass;evolution
